Semester Admitted,Major,Department,CSCI101_Pass_Sem,CSCI101_Tran_Sem,CSCI128_Pass_Sem,CSCI128_Tran_Sem,CSCI200_Pass_C_Sem,CSCI200_Tran_Sem,CSCI210_Pass_Sem,CSCI220_Pass_Sem,CSCI220_Tran_Sem,CSCI261_Pass_C_Sem,CSCI261_Tran_Sem,CSCI262_Pass_Sem,CSCI262_Tran_Sem,CSCI274_Pass_Sem,CSCI306_Pass_Sem,CSCI341_Pass_Sem,CSCI358_Pass_Sem,CSCI370_Pass_Sem,CSCI400_Pass_Sem,CSCI406_Pass_Sem,CSCI442_Pass_Sem,MATH111_Pass_Sem,MATH111_Tran_Sem,MATH112_Pass_Sem,MATH113_Pass_Sem,MATH122_Pass_Sem,MATH213_Pass_Sem,MATH214_Pass_Sem,MATH223_Pass_Sem,MATH224_Pass_Sem,MATH225_Pass_Sem,MATH235_Pass_Sem,MATH300_Pass_Sem,MATH307_Pass_Sem,MATH332_Pass_Sem,MATH342_Pass_Sem,PHGN100_Pass_Sem,PHGN100_Tran_Sem,PHGN200_Pass_Sem,CSCI404_Pass_Sem,CSCI410_Pass_Sem,CSCI422_Pass_Sem,CSCI423_Pass_Sem,CSCI425_Pass_Sem,CSCI432_Pass_Sem,CSCI436_Pass_Sem,CSCI437_Pass_Sem,CSCI440_Pass_Sem,CSCI441_Pass_Sem,CSCI443_Pass_Sem,CSCI444_Pass_Sem,CSCI445_Pass_Sem,CSCI446_Pass_Sem,CSCI448_Pass_Sem,CSCI455_Pass_Sem,CSCI470_Pass_Sem,CSCI471_Pass_Sem,CSCI473_Pass_Sem,CSCI474_Pass_Sem,CSCI475_Pass_Sem,CSCI477_Pass_Sem,CSCI478_Pass_Sem
Fall 2020,Mechanical Engineering,Mechanical Engineering,Summer 2021,,,,,,,,,Fall 2021,,,,,,,,,,,,,Fall 2020,,Fall 2020,,Fall 2020,,,,Spring 2021,,,Fall 2022,,,Fall 2020,,Spring 2021,,,,,,,,,,,,,,,,,,,,,,,
Fall 2020,CS-Computer Eng Spclty,Computer Science,Fall 2020,,,,,,,,,,Fall 2020,Spring 2021,,Spring 2021,Fall 2021,Fall 2021,Spring 2022,Summer 2022,Fall 2022,Fall 2022,Spring 2023,,Fall 2020,,Fall 2020,,Fall 2020,,,,Fall 2021,,,Fall 2022,Fall 2021,,Fall 2020,,Fall 2021,,,,,,,,,,,,,,,,,,Fall 2022,,Spring 2023,Fall 2023,,
Fall 2020,CS-Computer Eng Spclty,Computer Science,,,,,,,,,,Fall 2020,,Spring 2021,,Spring 2021,Spring 2022,Fall 2021,Spring 2022,Summer 2022,Spring 2023,Fall 2022,Fall 2023,,Fall 2020,,Fall 2020,,Fall 2020,,,,Spring 2021,,,,Fall 2021,,,Fall 2020,Fall 2020,,,,,,,,,,,,,,Spring 2023,,,Fall 2023,Fall 2023,,,Fall 2023,,
Fall 2020,Mechanical Engineering,Mechanical Engineering,Fall 2020,,,,,,,,,,,,,,,,,,,,,Fall 2020,,Spring 2021,,,Fall 2021,,,,Spring 2022,,,Fall 2022,,,Spring 2021,,Fall 2021,,,,,,,,,,,,,,,,,,,,,,,
Fall 2020,Mechanical Engineering,Mechanical Engineering,Fall 2020,,,,,,,,,,,,,,,,,,,,,,Fall 2020,,,,,,,,,,,Spring 2021,Spring 2022,,,Fall 2020,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2020,Computational & Applied Math,Applied Math & Statistics,Fall 2020,,,,,,,,,,Fall 2020,,,,,,,,,,,,Fall 2020,,,,Fall 2020,,,,,,Spring 2021,Spring 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2020,Mechanical Engineering,Mechanical Engineering,Spring 2021,,,,,,,,,,,,,,,,,,,,,,Fall 2020,Fall 2020,,,Spring 2021,,,,Spring 2021,,,,,,Summer 2021,,Fall 2021,,,,,,,,,,,,,,,,,,,,,,,
Fall 2020,Mechanical Eng - Automotive,Mechanical Engineering,Fall 2020,,,,,,,,,,,,,,,,,,,,,Fall 2020,,Spring 2021,,,Fall 2021,,,,Spring 2022,,,Fall 2022,,,Spring 2021,,Fall 2021,,,,,,,,,,,,,,,,,,,,,,,
Fall 2020,Mechanical Eng - Aerospace,Mechanical Engineering,Spring 2021,,,,,,,,,,,,,,,,,,,,,,Fall 2020,,Fall 2020,,Fall 2020,,,,Spring 2021,,,Spring 2022,,,Fall 2020,,Fall 2021,,,,,,,,,,,,,,,,,,,,,,,
Fall 2020,Mechanical Engineering,Mechanical Engineering,Fall 2021,,,,,,,,,,,,,,,,,,,,,,Fall 2020,,Fall 2020,,Fall 2020,,,,Spring 2021,,,Fall 2022,,,Fall 2020,,Spring 2021,,,,,,,,,,,,,,,,,,,,,,,
Fall 2020,Mechanical Engineering,Mechanical Engineering,Spring 2021,,,,,,,,,,,,,,,,,,,,,Fall 2020,,Spring 2021,,,Fall 2021,,,,Spring 2022,,,Fall 2022,,,Spring 2021,,Fall 2021,,,,,,,,,,,,,,,,,,,,,,,
Fall 2020,Environmental Engineering,Civil & Environmental Enginrng,,Fall 2020,,,,,,,,,,,,,,,,,,,,,Fall 2020,Spring 2021,,,Summer 2021,,,,Summer 2021,,,,,,Fall 2021,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2020,Computer Science,Computer Science,,,,,,,,,,,Fall 2020,Fall 2020,,Spring 2021,Spring 2022,Spring 2021,Fall 2022,Summer 2022,Fall 2023,Spring 2023,,Fall 2020,,Spring 2021,,,Fall 2021,,,,Spring 2022,,,Spring 2023,Spring 2022,,Spring 2021,,Fall 2021,,,,Fall 2023,Spring 2023,,,,,,,,,,,,,,,,,Spring 2023,
Fall 2020,Civil Engineering,Civil & Environmental Enginrng,,,,,,,,,,,Fall 2020,,,,,,,,,,,Fall 2020,,Spring 2021,,,Fall 2021,,,,Spring 2022,,,,,,Spring 2021,,Fall 2021,,,,,,,,,,,,,,,,,,,,,,,
Fall 2020,Quantitative Biosci & Eng,Interdisciplinary Program,Spring 2022,,,,,,,,,,,,,,,,,,,,,,Fall 2020,,Fall 2020,,Fall 2020,,,,Spring 2021,,,Fall 2021,Summer 2021,,,Fall 2020,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2020,Computer Science,Computer Science,Spring 2021,,,,,,,,,,,,,,,,,,,,,Fall 2020,,Spring 2021,,,,,,,,,,,,,Spring 2021,,Fall 2021,,,,,,,,,,,,,,,,,,,,,,,
Fall 2020,Engineering Physics,Physics,Fall 2020,,,,,,,,,Spring 2021,,Fall 2021,,,,,,,,,,,Fall 2020,Fall 2020,,,Spring 2021,,,,Fall 2021,,,,Fall 2021,,Fall 2020,,Spring 2021,,,,,,,,,,,,,,,,,,,,,,,
Fall 2020,Computer Science,Computer Science,Fall 2020,,,,,,,,,Spring 2021,,Fall 2021,,Fall 2021,Spring 2022,Spring 2022,Spring 2022,Fall 2022,Fall 2023,Fall 2022,Fall 2023,,Fall 2020,,Fall 2020,,Spring 2021,,,,Fall 2020,,,,Fall 2021,,,,Spring 2021,,,,,,,,,,,,,,Spring 2023,,Fall 2023,,,,,Fall 2022,Spring 2023,Fall 2022
Fall 2020,Mechanical Engineering,Mechanical Engineering,Spring 2021,,,,,,,,,,,,,,,,,,,,,,Fall 2020,,Fall 2020,,Summer 2021,,,,Spring 2021,,,Fall 2022,,,,Fall 2020,Summer 2021,,,,,,,,,,,,,,,,,,,,,,,
Fall 2020,Mechanical Eng - Aerospace,Mechanical Engineering,,Fall 2020,,,,,,,,,,,,,,,,,,,,,Fall 2020,,Fall 2020,,Fall 2020,,,,Spring 2021,,,Spring 2023,,,Fall 2020,,Spring 2021,,,,,,,,,,,,,,,,,,,,,,,
Fall 2020,Quantum Engineering,Interdisciplinary Program,Spring 2021,,,,,,,,,Fall 2021,,,,,,,,,,,,,Fall 2020,,,,,,,,,,,Fall 2021,,,Fall 2020,,Spring 2021,,,,,,,,,,,,,,,,,,,,,,,
Fall 2020,Mechanical Engineering,Mechanical Engineering,Fall 2021,,,,,,,,,,,,,,,,,,,,,,Fall 2020,Spring 2021,,,Fall 2021,,,,Spring 2022,,,,,,Fall 2020,,Fall 2021,,,,,,,,,,,,,,,,,,,,,,,
Fall 2022,Mechanical Engineering,Mechanical Engineering,Fall 2022,,,,,,,,,,,,,,,,,,,,,,Fall 2022,,,,,,,,Fall 2022,,,Fall 2023,,,,Fall 2022,,,,,,,,,,,,,,,,,,,,,,,,
Spring 2020,EE-Engy & Pwr Electrncs Spclty,Electrical Engineering,,,,,,,,,,,Spring 2020,,,,,,,,,,,,Spring 2020,,,,Spring 2020,,,,Summer 2020,,,,Summer 2020,,,Spring 2020,Spring 2020,,,,,,,,,,,,,,,,,,,,,,,
Fall 2020,Economics - Business,Economics and Business,Fall 2022,,,,,,,,,,,,,,,,,,,,,Fall 2020,,,,,Spring 2022,,,,,,,,,,Spring 2022,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2020,Mechanical Engineering,Mechanical Engineering,Fall 2020,,,,,,,,,,,,,,,,,,,,,,Fall 2020,Fall 2020,,,Spring 2021,,,,Fall 2022,,,Fall 2022,,,Spring 2021,,Fall 2021,,,,,,,,,,,,,,,,,,,,,,,
Fall 2020,CS-Space Spclty,Computer Science,,,,,,,,,,Fall 2021,,,,,,,,,,,,,Fall 2020,Fall 2021,,,,,,,,,,,,,,Fall 2020,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2020,Computer Science,Computer Science,Fall 2020,,,,,,,,,Spring 2021,,Fall 2021,,Spring 2021,Spring 2022,Spring 2022,Spring 2022,Summer 2023,Spring 2023,Fall 2022,Spring 2023,,Fall 2020,Fall 2020,,,Spring 2021,,,,Fall 2021,,,Fall 2023,Spring 2022,,,Fall 2020,Fall 2021,,,,Fall 2022,,,,,,,,,,,,Fall 2023,,,,,,,
Fall 2020,CS-Space Spclty,Computer Science,Fall 2020,,,,,,,,,Spring 2021,,Fall 2021,,Fall 2021,Fall 2022,Spring 2022,Spring 2022,Summer 2023,,Spring 2023,Fall 2023,Fall 2020,,Spring 2021,,,Fall 2021,,,,Spring 2022,,,,Fall 2022,,Spring 2021,,Fall 2021,,,,Fall 2023,,,,,,,,,,,,,Summer 2023,,,,,Spring 2023,
Fall 2020,CS-Computer Eng Spclty,Computer Science,Fall 2020,,,,,,,,,Spring 2021,,Fall 2021,,Fall 2021,Fall 2022,Spring 2022,Spring 2022,Fall 2023,Fall 2023,Spring 2023,,Fall 2020,,Spring 2021,,,Fall 2021,,,,Spring 2022,,,,Fall 2022,,Spring 2021,,Fall 2021,,,,,,,,,,,,,,,,,,Fall 2022,,,Fall 2023,,
Spring 2021,Computer Science,Computer Science,Spring 2021,,,,,,,,,Fall 2021,,Spring 2022,,Spring 2022,Fall 2022,Fall 2022,Spring 2022,Fall 2023,Fall 2023,,Spring 2023,,Spring 2021,,Spring 2021,,Spring 2021,,,,Fall 2021,,,,Fall 2022,,Spring 2021,,Fall 2021,,,,,,,,,,,,,,Spring 2023,Spring 2023,,Fall 2023,Fall 2023,,,,,
Fall 2020,Civil Engineering,Civil & Environmental Enginrng,,,,,,,,,,Fall 2020,,,,,,,,,,,,Fall 2020,,Spring 2021,,,Fall 2021,,,,Spring 2022,,,,,,Spring 2021,,Fall 2021,,,,,,,,,,,,,,,,,,,,,,,
Fall 2020,Mechanical Engineering,Mechanical Engineering,Fall 2020,,,,,,,,,,,,,,,,,,,,,,Fall 2020,Fall 2020,,,Fall 2021,,,,Spring 2022,,,Fall 2022,Fall 2023,,Spring 2021,,Fall 2021,,,,,,,,,,,,,,,,,,,,,,,
Fall 2020,Computer Science,Computer Science,,,,,,,,,,Fall 2020,,Spring 2021,,Spring 2022,Fall 2021,Fall 2021,Fall 2023,Fall 2022,Spring 2023,,Fall 2023,Fall 2020,,Spring 2021,,,Spring 2023,,,,Spring 2023,,,,,,Fall 2023,,,,,,,,,,,,,,,,,,,,,,,,Spring 2022,
Fall 2020,Computer Science,Computer Science,Spring 2021,,,,,,,,,,Fall 2020,Fall 2021,,Fall 2021,Spring 2022,Spring 2022,Spring 2022,Summer 2023,Spring 2023,Fall 2022,Spring 2023,,Fall 2020,,Fall 2020,,Fall 2020,,,,Spring 2021,,,,Fall 2021,,,Fall 2020,Fall 2020,Spring 2022,,,Fall 2022,,,,,,,,,,,,,Summer 2023,Fall 2023,,,,Spring 2023,
Fall 2020,EE-Engy & Pwr Electrncs Spclty,Electrical Engineering,Fall 2022,,,,Fall 2023,,,,,,,,,,,,,,,,,Fall 2020,,Spring 2023,,,Fall 2023,,,,,,,,,,Fall 2022,,Fall 2023,,,,,,,,,,,,,,,,,,,,,,,
Spring 2020,Engineering Physics,Physics,,,,,,,,,,Summer 2021,,,,,,,,,,,,,Spring 2020,,,,,,,,Fall 2021,,,,,,,Spring 2020,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2020,Mechanical Engineering,Mechanical Engineering,Spring 2021,,,,,,,,,,,,,,,,,,,,,,Fall 2020,Fall 2020,,,Spring 2021,,,,Fall 2021,,,,,,Spring 2021,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2020,Electrical Engineering,Electrical Engineering,Spring 2022,,,,,,,,,Fall 2020,,,,,,,,,,,,Fall 2020,,Spring 2021,,,Fall 2021,,,,,,,,Fall 2022,,Fall 2021,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2020,Civil Engineering,Civil & Environmental Enginrng,Spring 2022,,,,,,,,,,,,,,,,,,,,,,Fall 2020,Fall 2020,,,Spring 2021,,,,Fall 2021,,,,,,Fall 2020,,Spring 2021,,,,,,,,,,,,,,,,,,,,,,,
Fall 2020,Metallurgical & Materials Eng,Metallurgical & Materials Eng,Fall 2020,,,,,,,,,,,,,,,,,,,,,Fall 2020,,,,,,,,,Spring 2021,,,Spring 2021,,,Spring 2021,,Fall 2021,,,,,,,,,,,,,,,,,,,,,,,
Fall 2020,Computer Science,Computer Science,Spring 2021,,,,,,,,,Spring 2021,,Spring 2022,,Spring 2022,Spring 2023,Fall 2023,Fall 2023,,,,,Fall 2020,,Spring 2021,,,Fall 2022,,,,Spring 2023,,,,Spring 2023,,Spring 2021,,Spring 2022,,,,,,,,,,,,,,,,,Fall 2023,,,,,,
Fall 2020,Mechanical Engineering,Mechanical Engineering,Fall 2020,,,,,,,,,,,,,,,,,,,,,,Fall 2020,,,,,,,,Spring 2021,,,Fall 2021,,,,Fall 2020,Fall 2020,,,,,,,,,,,,,,,,,,,,,,,
Fall 2020,Geophysical Engineering,Geophysics,Fall 2020,,,,,,,,,,,,,,,,,,,,,Fall 2020,,Spring 2021,,,Fall 2021,,,,Spring 2022,,,,Fall 2022,,Spring 2021,,Fall 2021,,,,,,,,,,,,,,,,,,,,,,,
Fall 2020,Computational & Applied Math,Applied Math & Statistics,Fall 2020,,,,,,,,,Spring 2021,,,,,,,,,,,,Fall 2020,,Spring 2021,,,Summer 2021,,,,Fall 2021,,Fall 2022,Fall 2022,Spring 2022,,Spring 2021,,Fall 2021,,,,,,,,,,,,,,,,,,,,,,,
Fall 2021,Computer Science,Computer Science,,Summer 2021,,,,,,,,,Summer 2021,,Summer 2021,Spring 2022,Fall 2021,Fall 2021,Spring 2022,Summer 2022,Fall 2022,Fall 2023,Fall 2022,,,,,,Fall 2021,,,,,,,,Fall 2022,,,Summer 2021,Fall 2021,Spring 2023,,,,,,,Fall 2023,,,,,,,,,Fall 2023,,,,,,
Fall 2020,Engineering Physics,Physics,Fall 2020,,,,,,,,,,,,,,,,,,,,,,Fall 2022,Fall 2020,,,Spring 2021,,,,Fall 2021,,,,Fall 2021,,Spring 2021,,Fall 2021,,,,,,,,,,,,,,,,,,,,,,,
Fall 2020,Engineering Physics,Physics,Fall 2020,,,,,,,,,,,,,,,,,,,,,,Fall 2020,Fall 2020,,,Fall 2021,,,,Spring 2022,,Fall 2021,,Spring 2022,,Fall 2020,,Fall 2021,,,,,,,,,,,,,,,,,,,,,,,
Fall 2020,EE-Engy & Pwr Electrncs Spclty,Electrical Engineering,,,,,,,,,,Fall 2020,,,,,,,,,,,,,Fall 2020,Fall 2020,,,Spring 2021,,,,Fall 2021,,,,Fall 2022,,Fall 2020,,Spring 2021,,,,,,,,,,,,,,,,,,,,,,,
Fall 2020,Quantitative Biosci & Eng,Interdisciplinary Program,Fall 2021,,,,,,,,,,,,,,,,,,,,,Fall 2020,,Spring 2021,,,Fall 2021,,,,Summer 2021,,,,,,Spring 2021,,Fall 2022,,,,,,,,,,,,,,,,,,,,,,,
Fall 2021,Mechanical Engineering,Mechanical Engineering,Fall 2021,,,,,,,,,,,,,,,,,,,,,,Summer 2021,,,,Summer 2023,,,,,,,,,,,Summer 2021,Spring 2022,,,,,,,,,,,,,,,,,,,,,,,
Spring 2021,Quantitative Biosci & Eng,Interdisciplinary Program,Spring 2022,,,,,,,,,,,,,,,,,,,,,,Fall 2019,Spring 2021,,,Fall 2021,,,,Spring 2022,,,,,,Spring 2021,,Fall 2021,,,,,,,,,,,,,,,,,,,,,,,
Fall 2020,Mechanical Engineering,Mechanical Engineering,Spring 2021,,,,,,,,,Fall 2021,,,,,,,,,,,,Fall 2020,,Spring 2021,,,Fall 2021,,,,,,,,,,Spring 2021,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2020,Quantitative Biosci & Eng,Interdisciplinary Program,Spring 2022,,,,,,,,,,,,,,,,,,,,,Fall 2020,,Spring 2021,,,Summer 2021,,,,Summer 2021,,,,,,Spring 2021,,Fall 2021,,,,,,,,,,,,,,,,,,,,,,,
Fall 2020,CS-Robotics Intel Sys Spclty,Computer Science,,Fall 2020,,,,,,,,,Fall 2020,Spring 2021,,Fall 2020,Spring 2022,Fall 2021,Fall 2021,Summer 2023,Fall 2023,Fall 2022,Spring 2023,,Fall 2020,Fall 2020,,,Spring 2021,,,,Fall 2021,,,,Fall 2022,,Fall 2020,,Spring 2022,,,,,,,,Summer 2023,,,,,,,,,Fall 2023,,,,,,
Fall 2020,Computational & Applied Math,Applied Math & Statistics,,,Fall 2023,,,,,,,,,,,,,,,,,,,Fall 2020,,,,,,,,,,,Fall 2023,,,,,Fall 2020,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2020,Mechanical Engineering,Mechanical Engineering,Fall 2021,,,,,,,,,,,,,,,,,,,,,,Fall 2020,Fall 2020,,,Spring 2021,,,,Fall 2021,,,Fall 2022,Fall 2023,,Fall 2020,,Spring 2021,,,,,,,,,,,,,,,,,,,,,,,
Spring 2020,Civil Engineering,Civil & Environmental Enginrng,,,,,,,,,,,Spring 2020,,,,,,,,,,,,Spring 2020,,,,,,,,Fall 2020,,,,,,,Spring 2020,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2020,Mechanical Engineering,Mechanical Engineering,,,,,,,,,,Spring 2021,,,,,,,,,,,,,Fall 2020,,Fall 2020,,Spring 2021,,,,Fall 2020,,,Spring 2022,,,Fall 2020,,Spring 2021,,,,,,,,,,,,,,,,,,,,,,,
Fall 2020,CS-Business Spclty,Computer Science,,Fall 2020,,,,,,,,,Fall 2020,Fall 2020,,Spring 2021,Spring 2021,Fall 2020,Fall 2020,Fall 2021,Fall 2022,Fall 2021,Spring 2022,,Fall 2020,,,,,,,,,,,Fall 2022,Fall 2020,,,Fall 2020,,,,,,,,,,,,,,,,Spring 2022,,,,,,Fall 2022,,
Fall 2020,Computer Science,Computer Science,Fall 2020,,,,,,,,,,Fall 2020,Spring 2021,,Spring 2021,Spring 2022,Spring 2022,Fall 2021,Fall 2022,Fall 2023,Fall 2022,Spring 2023,,Fall 2020,,,,,,,,Fall 2020,,,,Spring 2021,,Fall 2020,,Spring 2021,,,,,,,,,,,,,,Spring 2023,,,,Fall 2021,,Spring 2022,Fall 2022,,
Fall 2020,Chemical Engineering,Chemical & Biological Engineer,,,,,,,,Spring 2023,,,Fall 2020,,,,Fall 2023,Spring 2023,Spring 2023,,,Fall 2023,,,Fall 2020,,Fall 2020,,Spring 2021,,,,Fall 2020,,,,,,,Fall 2020,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2020,Statistics,Applied Math & Statistics,Fall 2021,,,,,,,,,Fall 2020,,Spring 2021,,,,,,,,,,,Fall 2020,Fall 2020,,,Spring 2021,,,,Fall 2021,,Spring 2022,Spring 2022,Spring 2022,,Fall 2020,,Fall 2021,,,,,,,,,,,,,,,,,,,,,,,
Fall 2020,Computer Science,Computer Science,Fall 2021,,,,,,,,,Spring 2022,,Summer 2022,,Fall 2022,Fall 2022,Fall 2022,Spring 2022,Summer 2023,Fall 2023,Spring 2023,,Fall 2020,,Spring 2021,,,Fall 2021,,,,Spring 2022,,,,Fall 2022,,Spring 2021,,Fall 2021,,,,,,,,,,,,,,,,,,,,,Fall 2023,Spring 2023,Fall 2023
Fall 2020,Mechanical Engineering,Mechanical Engineering,Spring 2021,,,,,,,,,,,,,,,,,,,,,Fall 2020,,Spring 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2020,Computer Science,Computer Science,Fall 2020,,,,,,,,,Summer 2021,,,,,,,,,,,,Fall 2020,,Summer 2021,,,,,,,,,,,,,Spring 2021,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2020,Computer Science,Computer Science,Fall 2020,,,,,,,,,Spring 2021,,Fall 2021,,Fall 2021,Spring 2022,Spring 2022,Spring 2022,Summer 2022,Fall 2022,Fall 2023,Spring 2023,,Fall 2020,Fall 2020,,,Spring 2021,,,,Fall 2021,,,,Spring 2022,,Fall 2020,,Spring 2021,Spring 2023,,,Fall 2022,,,,,,,,,,,,,,Fall 2023,,,,Spring 2023,
Fall 2020,Data Science,Interdisciplinary Program,,Fall 2020,,,,,,,,Spring 2021,,Fall 2021,,Fall 2021,Fall 2022,Spring 2022,Fall 2021,Fall 2023,Fall 2023,Spring 2023,Spring 2023,,Fall 2020,,Fall 2020,,Fall 2020,,,,Spring 2021,,,Fall 2023,Spring 2022,,Fall 2020,,Fall 2022,Spring 2023,,,,,,,,,,,,,,,,Fall 2022,,,,,,
Fall 2020,Mechanical Engineering,Mechanical Engineering,Spring 2021,,,,,,,,,,,,,,,,,,,,,Fall 2020,,Spring 2021,,,Fall 2021,,,,Spring 2022,,,Fall 2022,,,Spring 2021,,Fall 2021,,,,,,,,,,,,,,,,,,,,,,,
Fall 2020,Computer Science,Computer Science,Fall 2022,,,,Spring 2023,,,Summer 2023,,,,,,Fall 2023,Fall 2023,Summer 2023,Spring 2023,,,Fall 2023,,,Fall 2020,Fall 2020,,,Spring 2021,,,,Spring 2021,,,,Fall 2022,,Fall 2020,,Spring 2021,,,,,,,,Fall 2023,,,,,,,,,Fall 2023,,,,,,
Fall 2022,EE-Intg Crcts & Elctrnc Spclty,Electrical Engineering,,,,,,,,,,,Fall 2022,,Fall 2022,,,,,,,,,,Fall 2022,,,,,,,,,,,,Spring 2023,,,Fall 2022,,,,,,,,,,,,,,,,,,,,,,,,
Spring 2020,Civil Engineering,Civil & Environmental Enginrng,,,,,,,,,,,Spring 2020,,,,,,,,,,,,Spring 2020,,,,,,,,Fall 2020,,,,,,,Spring 2020,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2020,Computer Science,Computer Science,Spring 2021,,,,,,,,,Fall 2020,,Fall 2021,,Fall 2023,Fall 2022,Spring 2023,Fall 2022,Fall 2023,Fall 2023,Spring 2023,,,Fall 2020,,Fall 2020,,Fall 2021,,,,Fall 2022,,,,Spring 2023,,Spring 2021,,Fall 2021,,,,,,,,,,,,,Fall 2023,,,,Fall 2023,,,,,,
Fall 2020,Computational & Applied Math,Applied Math & Statistics,Fall 2020,,,,,,,,,Fall 2021,,Spring 2022,,,Fall 2022,Fall 2023,,,,Spring 2023,,Fall 2020,,Spring 2021,,,Fall 2021,,,,Spring 2022,,Spring 2022,Fall 2022,Spring 2022,,Spring 2021,,Fall 2021,,,,,,,,,,,,,,,,,,,,,,,
Fall 2021,CS-Robotics Intel Sys Spclty,Computer Science,,,,,,,,,,,,,,Fall 2021,,,,,,,,,Fall 2020,,,,,,,,,,,,,,,Fall 2020,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2020,Computer Science,Computer Science,,,,,,,,,,,Fall 2020,,,,,,,,,,,,Fall 2020,,,,,,,,,,,,,,,Fall 2020,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2020,Computer Science,Computer Science,Fall 2021,,,,,,,,,Fall 2020,,Spring 2021,,Fall 2021,Spring 2022,Spring 2022,Fall 2022,Summer 2023,Fall 2023,Spring 2023,Fall 2022,,Fall 2020,Fall 2020,,,Spring 2021,,,,Fall 2021,,,Spring 2022,Spring 2022,,Fall 2020,,Spring 2021,,,,,,,,,,Fall 2023,,,Fall 2022,,Spring 2023,,,Fall 2022,,,Fall 2023,,
Fall 2020,Electrical Engineering,Electrical Engineering,Spring 2022,,,,,,,,,Fall 2020,,,,,,,,,,,,,Fall 2020,,,,,,,,Fall 2020,,,,,,,Fall 2020,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2020,Electrical Engineering,Electrical Engineering,Spring 2021,,,,,,,Fall 2023,,Spring 2022,,,,Fall 2023,,Fall 2023,,,,,,Fall 2020,,Spring 2021,,,Fall 2021,,,,Spring 2022,,,,Spring 2022,,Spring 2021,,Fall 2021,,,,,,,,,,,,,,,,,,,,,,,
Fall 2020,EG-Individualized Spclty,Engineering Design & Society,Spring 2021,,,,,,,,,Spring 2022,,,,,,,,,,,,,Fall 2020,,,,,,,,Fall 2020,,,,,,,Fall 2020,Fall 2020,,,,,,,,,,,,,,,,,,,,,,,
Fall 2020,EE-Intg Crcts & Elctrnc Spclty,Electrical Engineering,Spring 2023,,,,,,,Summer 2023,,Fall 2021,,,,Fall 2023,,Fall 2023,,,,,,Fall 2020,,Spring 2021,,,Fall 2021,,,,Spring 2022,,,,Spring 2022,,Spring 2021,,Fall 2021,,,,,,,,,,,,,,,,,,,,,,,
Fall 2022,Mechanical Engineering,Mechanical Engineering,Fall 2022,,,,,,,,,,,,,,,,,,,,,,Fall 2022,,,,,,,,,,,,,,,Fall 2022,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2020,Mechanical Engineering,Mechanical Engineering,Spring 2021,,,,,,,,,,,,,,,,,,,,,,Fall 2020,,,,,,,,Fall 2020,,,Fall 2022,Spring 2023,,Fall 2020,,Spring 2021,,,,,,,,,,,,,,,,,,,,,,,
Fall 2020,Mechanical Engineering,Mechanical Engineering,Spring 2021,Spring 2021,,,,,,,,,Spring 2021,,,,,,,,,,,,Spring 2021,,Fall 2020,,Fall 2020,,,,,,,Fall 2022,Spring 2021,,Spring 2021,,Fall 2021,,,,,,,,,,,,,,,,,,,,,,,
Fall 2020,Mechanical Engineering,Mechanical Engineering,Spring 2021,,,,,,,Fall 2023,,Spring 2022,,,,,,,,,,,,Fall 2020,,Spring 2021,,,Fall 2021,,,,Spring 2022,,,Fall 2022,,,Spring 2021,,Fall 2021,,,,,,,,,,,,,,,,,,,,,,,
Fall 2020,Mech Eng-Automation & Controls,Mechanical Engineering,Fall 2020,,,,Fall 2023,,,,,,,,,,,,,,,,,,Fall 2020,Fall 2020,,,Spring 2021,,,,Fall 2021,,,Fall 2022,,,Fall 2020,,Spring 2021,,,,,,,,,,,,,,,,,,,,,,,
Fall 2020,Mechanical Engineering,Mechanical Engineering,Spring 2021,,,,,,,,,,,,,,,,,,,,,,Fall 2020,,Fall 2020,,Fall 2020,,,,Fall 2021,,,Fall 2022,Fall 2023,,,Fall 2020,Spring 2021,,,,,,,,,,,,,,,,,,,,,,,
